pricing_model,ai_band,n,avg_hours,avg_revenue,avg_margin
fixed,0-20%,303,13.13143998533656,1075.2117784364466,0.09774738557174815
fixed,20-40%,401,13.485228770948023,1257.6576654683156,0.22357171623703742
fixed,40-60%,296,12.466202597411362,1250.8967945724974,0.35719868800766097
fixed,60-80%,134,11.113963014065197,1210.8123287241933,0.46231152768148626
fixed,80-100%,19,10.57842105263158,1735.5356792605978,0.45594292029726663
hourly,0-20%,365,13.713425150410957,987.9434967395987,-0.04572397674654868
hourly,20-40%,526,13.695186572130421,989.9621456613041,-0.053166179798104084
hourly,40-60%,395,13.028180382334034,921.8178365033959,0.08141419005723813
hourly,60-80%,174,10.35368231053288,777.5648850574713,0.06429903726897739
hourly,80-100%,22,11.540909090909091,889.1313636363636,0.024927027107461364
value_based,0-20%,110,12.305454545454545,1326.6009999999999,0.30431167188045033
value_based,20-40%,142,14.702169336178418,1418.3875352112675,0.3386982771244801
value_based,40-60%,121,11.98603305785124,1720.3693292947912,0.5132503652406194
value_based,60-80%,42,11.567380952380953,1576.7611904761904,0.4704849346428284
